Player_Name_CSV,Team_CSV,Role_CSV,Player_Name_DB
Alvarez_A,1585,
Pavoletti,1586,
Azon,1587,
Gabrielloni,1588,
Bonazzoli,1589,
Ekhator,1591,
Milik,1592,
Benedyczak,1593,
Buffon_L,1594,
Moro_L,1596,
Skjellerup,1597,
Njie,1598,
Candè,1830,
Terracciano_F,1304,
Sottil,1831,
Sorensen_O,1832,
Bondo,1474,
Athekame,1845,
Heggem,1846,
Belghali,1847,
Godfrey,1848,
Rog,1849,
Adzic,1850,
Ilkhan,1851,
Frigan,1852,
Vergara,1854,
Giovane_S,1600,
Gutierrez_M,1844,
Pizarro_D,1599,
Iker_Bravo,1563,
Rodriguez_J,1566,
Nkunku,1855,
Zaniolo,1861,
Vardy,1863,
Zhegrova,1865,
Openda,1859,
Caviglia,1866,
Cavlina,1868,
Elmas,1870,
Bonfanti_N,1595,
Gagliardini,1871,
Britschgi,1873,
Bayo,1578,
Livramento,1582,
Miller,1833,
Bailey,1834,
Muric_A,1827,
Ramon_J,1801,
Romagnoli_A,1189,
Sala_M,1258,
Wesley_F,1154,
Ndiaye_A,1810,
Russo_Al,1138,
Tramoni,1365,
Hojlund,1856,
Akanji,1858,
Belotti,1860,
Rabiot,1862,
Nunziante,1799,
Lezzerini,1800,
Ghilardi,1261,
Denoon,1803,
Piotrowski,1804,
Mazzitelli,1805,
Aebischer,1452,
Akinsanmiro,1806,
Kilicsoy,1807,
Oristanio,1864,
Sohm,1364,
Nkounkou,1867,
Anguissa,1343,
Davis,1541,
Cuadrado,1815,
Goglichidze,1816,
Jashari,1817,
Nzola,1818,
Morata,1819,
Dele_Bashiru,1372,
Esposito_F,1559,
Esposito_S,1558,
Gudmundsson,1334,
Idrissi,1266,
Kamara,1212,
Kelly,1205,
Lusuardi,1257,
Martinez_J,1112,
Moreno_A,1267,
Morente,1392,
Ordonez,1446,
Pessina_M,1115,
Pezzella,1224,
Ranieri,1204,
Smolcic,1300,
Sucic,1390,
Vitinha,1538,
Orban_G,1872,
Bradaric_D,1802,
