Nome,Squadra,Ruolo
Fagioli,Fiorentina,C
Falcone,Lecce,P
Faye,Cremonese,D
Fazzini,Fiorentina,C
Felici,Cagliari,C
Feola,Verona,D
Ferguson,Bologna,C
Ferguson E,Roma,A
Fernandes S,Lazio,A
Ferrante,Napoli,P
Fini,Genoa,A
Floriani M,Cremonese,D
Fofana Y,Milan,C
Folino,Cremonese,D
Folorunsho,Cagliari,C
Fortini,Fiorentina,D
Frattesi,Inter,C
Frendrup,Genoa,C
Frese,Verona,D
Freuler,Bologna,C
Frigan,Parma,A
Fruchtl,Lecce,P
Furlanetto,Lazio,P
Gabbia,Milan,D
Gabellini,Torino,A
Gaetano,Cagliari,C
Gagliardini,Verona,C
Gallo,Lecce,D
Gaspar K,Lecce,D
Gatti,Juventus,D
Ghilardi,Roma,D
Gigot,Lazio,D
Gila,Lazio,D
Gilmour,Napoli,C
Gimenez S,Milan,A
Gineitis,Torino,C
Giovane S,Verona,A
Goglichidze,Udinese,D
Goldaniga,Como,D
Gollini,Roma,P
Gorter,Lecce,C
Gosens,Fiorentina,D
Grassi,Cremonese,C
Gronbaek,Genoa,C
Guaita,Parma,P
Gudmundsson,Fiorentina,A
Guendouzi,Lazio,C
Gueye,Udinese,A
Guilbert,Lecce,D
Gutierrez M,Napoli,D
Harroui,Verona,C
Heggem,Bologna,D
Helgason,Lecce,C
Hermoso,Roma,D
Hernani,Parma,C
Hien,Atalanta,D
Hojholt,Pisa,C
Hojlund,Napoli,A
Holm,Bologna,D
Hysaj,Lazio,D
Iannoni,Sassuolo,C
Idrissi,Cagliari,D
Idzes,Sassuolo,D
Iker Bravo,Udinese,A
Ilic,Torino,C
Ilkhan,Torino,C
Immobile,Bologna,A
Infantino,Fiorentina,C
Isaksen,Lazio,C
Ismajli,Torino,D
Israel,Torino,P
Jashari,Milan,C
Jean,Lecce,D
Joao Mario N,Juventus,D
Johnsen,Cremonese,A
Juan Jesus,Napoli,D
Kaba,Lecce,C
Kabasele,Udinese,D
Kalulu,Juventus,D
Kamara,Udinese,D
Kamenovic,Lazio,D
Karlstrom,Udinese,C
Kastanos,Verona,C
Kean,Fiorentina,A
Kelly,Juventus,D
Kempf,Como,D
Kilicsoy,Cagliari,A
Kolasinac,Atalanta,D
Kone I,Sassuolo,C
Koopmeiners,Juventus,C
Kospo,Fiorentina,D
Kossounou,Atalanta,D
Kostic,Juventus,C
Kouadio,Fiorentina,D
Kouame,Fiorentina,A
Kouassi,Lecce,D
Kristensen T,Udinese,D
Krstovic,Atalanta,A
Kuhn,Como,C
Lafont G,Genoa,C
Lamptey,Fiorentina,D
Lauriente',Sassuolo,A
Lazaro,Torino,D
Lazzari M,Lazio,D
Leali,Genoa,P
Leao,Milan,A
Leris,Pisa,C
Lezzerini,Fiorentina,P
Lipani,Sassuolo,C
Liteta,Cagliari,C
Lobotka,Napoli,C
Locatelli M,Juventus,C
Loftus-Cheek,Milan,C
Lookman,Atalanta,A
Lordkipanidze,Cremonese,C
Lorran,Pisa,C
Lovik,Parma,D
Lovric,Udinese,C
Lucca,Napoli,A
Lucumi,Bologna,D
Luis Henrique,Inter,C
Lukaku R,Napoli,A
Luna,Verona,A
Luperto,Cagliari,D
Lusuardi,Pisa,D
Luvumbo,Cagliari,A
Lykogiannis,Bologna,D
Macchioni,Sassuolo,D
Maignan,Milan,P
Maldini D,Atalanta,C
Maleh,Lecce,C
Malinovskyi,Genoa,C
Mancini,Roma,D
Mandas,Lazio,P
Mandela Keita,Parma,C
Mandragora,Fiorentina,C
Manu Kone,Roma,C
Manzoni A,Atalanta,C
Marcandalli,Genoa,D
Marchwinski,Lecce,C
Mari,Fiorentina,D
Marianucci,Napoli,D
Marin M,Pisa,C
Maripan,Torino,D
Martin,Genoa,D
Martinelli T,Fiorentina,P
Martinez J,Inter,P
Martinez L,Inter,A
Marusic,Lazio,D
Masina,Torino,D
Masini,Genoa,C
Mathias Olivera,Napoli,D
Matic,Sassuolo,C
Mazzitelli,Cagliari,C
Mazzocchi,Napoli,D
Mbambi,Pisa,D
McKennie,Juventus,C
McTominay,Napoli,C
Meister,Pisa,A
Meret,Napoli,P
Messias,Genoa,C
Milik,Juventus,A
Milinkovic-Savic V,Napoli,P
Miller,Udinese,C
Mina,Cagliari,D
Miranda J,Bologna,D
Miretti,Juventus,C
Misitano,Atalanta,A
Mkhitaryan,Inter,C
Modric,Milan,C
Montipo',Verona,P
Morata,Como,A
Moreno A,Como,D
Morente,Lecce,C
Moreo,Pisa,A
Moro L,Sassuolo,A
Moro N,Bologna,C
Mosquera,Verona,A
Moumbagna,Cremonese,A
Muharemovic,Sassuolo,D
Munoz,Lazio,C
Muric A,Sassuolo,P
Musah,Atalanta,C
N'Dri,Lecce,A
Nava,Cremonese,P
Ndaba,Lecce,D
Ndiaye A,Parma,D
Ndicka,Roma,D
Ndour,Fiorentina,C
Nelsson,Verona,D
Neres,Napoli,C
Ngonge,Torino,A
Niasse,Verona,C
Nico Paz,Como,C
Nicolas,Pisa,P
Njie,Torino,C
Nkounkou,Torino,D
Nkunku,Milan,A
Noa Lang,Napoli,C
Norton-Cuffy,Genoa,D
Noslin,Lazio,A
Nuno Tavares,Lazio,D
Nunziante,Udinese,P
Nzola,Pisa,A
Obert,Cagliari,D
Odenthal,Sassuolo,D
Odgaard,Bologna,A
Odogu,Milan,D
Okereke,Cremonese,A
Okoye,Udinese,P
Onana J,Genoa,C
Ondrejka,Parma,C
Openda,Juventus,A
Orban G,Verona,A
Ordonez,Parma,C
Oristanio,Parma,C
Orsolini,Bologna,C
Ostigard,Genoa,D
Otoa,Genoa,D
Oyegoke,Verona,D
Padelli,Udinese,P
Palacios,Inter,D
Paleari,Torino,P
Palestra,Cagliari,C
Palma M,Udinese,D
Papadopoulos,Atalanta,C
Parisi F,Fiorentina,D
Pasalic,Atalanta,C
Patric,Lazio,D
Pavlovic S,Milan,D
Pavoletti,Cagliari,A
Payero,Cremonese,C
Paz Y,Sassuolo,D
Pedersen,Torino,D
Pedro Felipe,Juventus,D
Pedro R,Lazio,A
Pellegrini,Roma,C
Pellegrini Lu,Lazio,D
Pellegrino Ma,Parma,A
Perciun,Torino,C
Perez A,Torino,D
Perez M,Lecce,D
Perilli,Verona,P
Perin,Juventus,P
Perrone,Como,C
Pessina M,Bologna,P
Pezzella,Cremonese,D
Piccinini G,Pisa,C
Piccoli,Fiorentina,A
Pieragnolo,Sassuolo,D
Pierini,Sassuolo,A
Pierotti,Lecce,A
Pierret,Lecce,C
Pinamonti,Sassuolo,A
Pinsoglio,Juventus,P
Pintus,Cagliari,D
Piotrowski,Udinese,C
Pisano M,Como,A
Pisilli,Roma,C
Plicco,Parma,C
Pobega,Bologna,C
Politano,Napoli,A
Pongracic,Fiorentina,D
Popa,Torino,P
Posch,Como,D
Prati,Cagliari,C
Provedel,Lazio,P
Provstgaard,Lazio,D
Pugno,Juventus,A
Pulisic,Milan,C
Rabiot,Milan,C
Radunovic,Cagliari,P
Rafia,Lecce,C
Ramadani,Lecce,C
Ramon J,Como,D
Ranieri,Fiorentina,D
Ravaglia F,Bologna,P
Razi,Como,C
Rensch,Roma,D
Ricci S,Milan,C
Richardson,Fiorentina,C
Rinaldi,Parma,P
Rocchetti,Cremonese,D
Rodriguez J,Como,C
Rodriguez Ju,Cagliari,D
Rog,Cagliari,C
Romagna,Sassuolo,D
Romagnoli A,Lazio,D
Romano,Roma,C
Rossi F,Atalanta,P
Rouhi,Juventus,D
Rovella,Lazio,C
Rowe,Bologna,C
Rrahmani,Napoli,D
Rugani,Juventus,D
Rui Modesto,Udinese,D
Sabelli,Genoa,D
Sabiri,Fiorentina,C
Saelemaekers,Milan,C
Sala M,Como,D
Samardzic,Atalanta,C
Samooja,Lecce,P
Sanabria,Cremonese,A
Sangare',Roma,D
Sarmiento,Cremonese,C
Satalino,Sassuolo,P
Sava,Udinese,P
Savva,Torino,A
Sazonov,Torino,D
Scalvini,Atalanta,D
Scamacca,Atalanta,A
Schuurs,Torino,D
Scott,Lecce,D
Scotti,Milan,A
Scuffet,Pisa,P
Semper,Pisa,P
Serdar,Verona,C
Sergi Roberto,Como,C
Sernicola,Cremonese,D
Siebert,Lecce,D
Siegrist,Genoa,P
Silvestri,Cremonese,P
Simeone,Torino,A
Skjellerup,Sassuolo,A
Skorupski,Bologna,P
Slotsager,Verona,D
Smolcic,Como,D
Sohm,Fiorentina,C
Solet,Udinese,D
Sommariva,Genoa,P
Sommer,Inter,P
Sorensen O,Parma,C
Sottil,Lecce,C
Soule,Roma,C
Spinazzola,Napoli,D
Sportiello,Atalanta,P
Stanciu,Genoa,C
Stengs,Pisa,C
Stulic,Lecce,A
Sucic,Inter,C
Sulemana,Bologna,C
Sulemana K,Atalanta,C
Suslov,Verona,C
Suzuki,Parma,P
Svilar,Roma,P
Tameze,Torino,C
Terracciano,Milan,P
Terracciano F,Cremonese,D
Thorsby,Genoa,C
Thorstvedt,Sassuolo,C
Thuram,Inter,A
Thuram K,Juventus,C
Tiago Gabriel,Lecce,D
Tomczyk,Bologna,C
Tomori,Milan,D
Toniolo,Verona,P
Topalovic,Inter,C
Torriani,Milan,P
Toure Id,Pisa,C
Tramoni,Pisa,C
Traore C,Milan,C
Troilo,Parma,D
Tsimikas,Roma,D
Turati,Sassuolo,P
Unai Nunez,Verona,D
Valenti,Parma,D
Valentini N,Verona,D
Valeri,Parma,D
Valoti,Cremonese,C
Van der Brempt,Como,D
Vandeputte,Cremonese,C
Vardy,Cremonese,A
Vasquez,Genoa,D
Vasquez D,Roma,P
Vavassori,Atalanta,A
Vazquez,Cremonese,C
Vecino,Lazio,C
Venturino,Genoa,A
Vergara,Napoli,C
Vigorito,Como,P
Viti,Fiorentina,D
Vitik,Bologna,D
Vitinha,Genoa,A
Vlahovic,Juventus,A
Vlasic,Torino,C
Vojvoda,Como,D
Volpato C,Sassuolo,C
Vos,Milan,C
Vranckx,Sassuolo,C
Vural,Pisa,C
Walukiewicz,Sassuolo,D
Wesley F,Roma,D
Yellu Santiago,Verona,C
Yildiz,Juventus,A
Yildiz V,Verona,C
Yilmaz,Lecce,C
Zaccagni,Lazio,C
Zacchi,Sassuolo,P
Zalewski,Atalanta,D
Zaniolo,Udinese,C
Zanoli,Udinese,D
Zapata D,Torino,A
Zappa,Cagliari,D
Zappacosta,Atalanta,D
Zarraga,Udinese,C
Ze Pedro,Cagliari,D
Zelezny,Roma,P
Zemura,Udinese,D
Zerbin,Cremonese,C
Zhegrova,Juventus,C
Zielinski,Inter,C
Ziolkowski,Roma,D
Zortea,Bologna,D
